Precinct,Total Voters,Kamala Harris,Kamala %,Donald Trump,Trump %,RFK,RFK%,Ward,shape_area,ward_precinct,shape_leng,precinct,ward,geometry,Kamala
12,903,658,72.87%,234,25.91%,11,1.22%,Ward 2,0.0000111062122714,02012,0.0176900530271,12.0,2.0,"POLYGON ((-87.63132999977961 41.89978900016227, -87.63134999980264 41.90055300032078, -87.63275499984331 41.900536999582926, -87.63282600041953 41.90311599980362, -87.62996299969262 41.9031539997573, -87.62988899987738 41.90057300034374, -87.6283130000449 41.90059300036672, -87.62828999988358 41.89993699979277, -87.62986499966996 41.89991200043852, -87.62983199994682 41.89875200000483, -87.63130000019481 41.89873099993577, -87.63132999977961 41.89978900016227))",72.87
13,1265,916,72.41%,326,25.77%,23,1.82%,Ward 2,0.00000857687443486,02013,0.0163093666257,13.0,2.0,"POLYGON ((-87.62992499973893 41.90186399962391, -87.62996299969262 41.9031539997573, -87.63142399961782 41.90313499978049, -87.63144499968695 41.90390100003116, -87.629985999854 41.903923000146385, -87.63004199973847 41.905802999608795, -87.62874300008934 41.90581900034664, -87.62866099990521 41.903264000333415, -87.62834100043676 41.902380000036985, -87.6283130000449 41.90059300036672, -87.62988899987738 41.90057300034374, -87.62992499973893 41.90186399962391))",72.41
14,761,557,73.19%,192,25.23%,12,1.58%,Ward 2,0.00000567086918269,02014,0.00979665228477,14.0,2.0,"POLYGON ((-87.63306199961153 41.90575500009322, -87.63004199973847 41.905802999608795, -87.629985999854 41.903923000146385, -87.63300200044193 41.90387699982375, -87.63306199961153 41.90575500009322))",73.19
15,912,688,75.44%,219,24.01%,5,0.55%,Ward 2,0.00000872342535229,02015,0.0125879056674,15.0,2.0,"POLYGON ((-87.6331209996344 41.90769599967068, -87.63159600035512 41.907833999739346, -87.62878500022754 41.90779899992396, -87.62874300008934 41.90581900034664, -87.63306199961153 41.90575500009322, -87.6331209996344 41.90769599967068))",75.44
16,964,738,76.56%,216,22.41%,10,1.04%,Ward 2,0.0000100026714123,02016,0.0139468710742,16.0,2.0,"POLYGON ((-87.62943499962552 41.90779000040823, -87.63156900000928 41.90783399973935, -87.63164700000902 41.91042799975241, -87.63237200016766 41.910379000190744, -87.63248499998275 41.91116100027999, -87.62888600038855 41.91122300044116, -87.62878500022754 41.90779899992396, -87.62943499962552 41.90779000040823))",76.56
17,1442,1070,74.20%,366,25.38%,6,0.42%,Ward 2,0.0000126568943834,02017,0.0167180849405,17.0,2.0,"POLYGON ((-87.63460599976702 41.90766600008588, -87.63470900002028 41.91110400034938, -87.63248499998275 41.91116100027999, -87.63237200016766 41.910379000190744, -87.63164700000902 41.91042799975241, -87.63156900000928 41.90783399973935, -87.6331209996344 41.90769599967068, -87.63306199961153 41.90575500009322, -87.63454200041298 41.90572899979355, -87.63460599976702 41.90766600008588))",74.2
18,931,661,71.00%,254,27.28%,16,1.72%,Ward 2,0.0000126162903086,02018,0.0182982084655,18.0,2.0,"POLYGON ((-87.6371199996882 41.90568599960925, -87.63842100032889 41.9056620003011, -87.63848399963683 41.90760099978638, -87.63718499998771 41.907621999855444, -87.63715000017233 41.90665600027427, -87.63457500013612 41.90669200013575, -87.63454200041298 41.90572899979355, -87.63306199961153 41.90575500009322, -87.63300200044193 41.90387699982375, -87.63701600028816 41.90381100037741, -87.6371199996882 41.90568599960925))",71.0
19,552,406,73.55%,139,25.18%,7,1.27%,Ward 2,0.0000121155571972,02019,0.0175191473338,19.0,2.0,"POLYGON ((-87.63718499998771 41.907621999855444, -87.63727799977983 41.90981000003154, -87.63760200033204 41.91034200028315, -87.6376240004472 41.91113099979583, -87.63323000016436 41.91116400041835, -87.63470900002028 41.91110400034938, -87.63457500013612 41.90669200013575, -87.63715000017233 41.90665600027427, -87.63718499998771 41.907621999855444))",73.55
20,674,483,71.66%,181,26.85%,10,1.48%,Ward 2,0.00000774752568425,02020,0.0129161148323,20.0,2.0,"POLYGON ((-87.63307600025718 41.91116100027999, -87.6366640002434 41.911197000141485, -87.63671800003561 41.912852000019825, -87.63322399988766 41.91291300013489, -87.63285499995823 41.913173999580465, -87.63168199982442 41.911181000302975, -87.63307600025718 41.91116100027999))",71.66
21,197,123,62.44%,67,34.01%,7,3.55%,Ward 2,0.00000450076337792,02021,0.00966284062976,21.0,2.0,"POLYGON ((-87.63986100018498 41.912875000181145, -87.63671800003561 41.912852000019825, -87.63668400026637 41.91174800036998, -87.63805499963848 41.91172300011641, -87.63803899979996 41.91117900021072, -87.63980800043885 41.911156000049395, -87.63986100018498 41.912875000181145))",62.44
